volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
nyp.33433082170576,1847,1847,1809,1847,m,us,46845,0.404096868899,0,1,328,"Arthur, T. S.",Lovers and husbands,teamred | random
njp.32101067641678,1878,1878,1812,1878,m,ge,72452,0.389672085276,0,1,329,"Auerbach, Berthold,",Landolin,teamred | random
inu.30000011752437,1910,1910,1862,1910,f,us,113531,0.487638167345,1,1,329,"Wharton, Edith,",Tales of men and ghosts,teamred | pbgothic
mdp.39015059372105,1823,1823,1794,1823,m,uk,75245,0.497364337304,0,1,329,"Lockhart, J. G.",Reginald Dalton,random | teamblack
nyp.33433074866413,1898,1908,1865,1898,m,uk,129023,0.329533703396,0,1,327,"Kipling, Rudyard,",The day's work,teamred | random
nyp.33433074878889,1837,1837,1797,1837,m,uk,183975,0.398648513067,0,1,329,"Lover, Samuel,",Rory O'More,random | teamblack
uc1.32106001980371,1905,1911,1878,1905,m,uk,15559,0.506015167662,1,1,329,"Dunsany, Edward John More",The gods of Pegāna,pbgothic | teamblack | stew
20743,1967,1967,1929,1967,m,us,60089,0.436151660787,1,1,328,"Levin, Ira,",Rosemary's baby,chihorror | pbgothic | teamblack | stew
21335,1976,1976,1908,1976,m,us,97613,0.351252808646,0,1,329,"L'Amour, Louis,",To the Far Blue Mountains,chirandom | teamblack
uiuo.ark+=13960=t48p6974b,1868,1868,1813,1868,m,uk,54053,0.465091644234,0,1,329,"Capes, J. M.",The mosaic-worker's daugh,random | teamblack
hvd.hwjtfk,1824,1832,1789,1824,m,us,59469,0.461855317156,0,1,329,"Cooper, James Fenimore,",The pilot;,random | teamblack
mdp.39015062658789,1881,1881,1844,1881,f,us,93231,0.441717502143,0,1,329,"Sidney, Margaret,",Five little Peppers and h,random | teamblack
uc2.ark+=13960=t93776z9n,1922,1922,0,1922,m,,74066,0.659378604499,1,1,324,"French, Joseph Lewis,",Masterpieces of mystery,locghost | locdetmyst | teamblack | stew
21607,1979,1979,1935,1979,m,us,78785,0.466991950401,0,1,329,"Cline, C. Terry,",Cross current,chirandom | teamblack
uc1.31158008377706,1818,1922,1775,1818,f,uk,91101,0.383759454512,1,1,325,"Austen, Jane,",Northanger abbey,pbgothic | teamblack
21494,1978,1978,1939,1978,m,us,117110,0.418425546974,0,1,329,"Bayer, William,",Tangier,chirandom | teamblack
nnc1.1002365251,1841,1841,1800,1841,f,uk,77684,0.488019449332,0,1,329,"Sinclair, Catherine,",Modern flirtations,random | teamblack
uiuo.ark+=13960=t2s475w45,1851,1851,1801,1851,m,uk,84159,0.484077242815,0,1,329,"MacCabe, William Bernard,",Bertha,teamred | random
20480,1962,1962,1920,1962,m,us,63879,0.668596868688,1,1,329,"Bradbury, Ray,",Something wicked this way,chiscifi | chihorror | teamblack
uc2.ark+=13960=t9c53g45j,1922,1922,0,1922,m,,66720,0.515414582299,1,1,324,"French, Joseph Lewis,",Masterpieces of mystery,locghost | locdetmyst | teamblack
4748,1922,1922,1877,1922,m,us,33444,0.403211130131,0,1,329,"Traprock, Walter E.",My northern exposure,chirandom | teamblack
22894,1988,1988,1945,1988,m,us,67320,0.371221954551,0,1,329,"Grissom, Ken,",Drop-off,stew | chirandom | teamblack | chimyst
mdp.39015063556271,1818,1818,1769,1818,f,uk,66774,0.405734215637,0,1,327,"Opie, Amelia Alderson,",New tales,teamred | random
njp.32101067487007,1764,1811,1717,1764,m,uk,54620,0.546838631174,1,1,329,"Walpole, Horace,",The castle of Otranto;,teamred | pbgothic | stew
nyp.33433074954979,1802,1802,0,1802,f,uk,57901,0.36159296567,0,1,329,"Cullen, Margaret.",Home,teamred | random
21631,1979,1979,1947,1979,m,us,151731,0.414460953868,1,1,327,"King, Stephen,",The dead zone,chiscifi | chihorror | teamblack | stew
mdp.39015063941135,1907,1907,1850,1907,f,us,130515,0.443968986268,0,1,329,"Murfree, Mary Noailles,",The windfall;,teamred | random
nnc1.cu01664417,1900,1917,1869,1900,m,us,57029,0.415740451453,0,1,329,"Tarkington, Booth,",Monsieur Beaucaire,random | teamblack
