position,authors,genres,lavin_genres,ids,big_genres,titles,dates,cosine_similarities
81,Austen%2C+Jane%2C,teamred | lochorror,no_lavin_tag,82,gothic,Northanger+Abbey,1818,0.158292426
423,Reeve%2C+Arthur+B.,teamred | det100,no_lavin_tag,424,crime,Constance+Dunlap%2C+woman+d,1913,0.158277082
153,Arthur%2C+T.+S.,teamred | random,no_lavin_tag,154,non_genre,Lovers+and+husbands,1847,0.158226992
86,Irving%2C+Washington%2C,teamblack | pbgothic | lavin_ghost | lavin_magic,lavin_multi,87,gothic,The+sketch-book+of+Geoffr,1820,0.158211567
850,Millhauser%2C+Steven%2C,chirandom | teamred,no_lavin_tag,851,non_genre,Edwin+Mullhouse,1972,0.157609212
355,Harris-Burland%2C+J.+B.,teamred | locscifi,no_lavin_tag,356,scifi,The+Princess+Thora,1904,0.157472393
315,Astor%2C+John+Jacob%2C,teamblack | anatscifi | stew,no_lavin_tag,316,scifi,A+journey+in+other+worlds,1894,0.157359854
703,Pragnell%2C+Festus%2C,teamred | chifantasy,no_lavin_tag,704,non_genre,The+green+man+of+Graypec,1950,0.157278412
210,Verne%2C+Jules%2C,teamred | anatscifi,no_lavin_tag,211,scifi,Twenty+thousand+leagues+u,1870,0.157216586
323,Merrick%2C+Leonard%2C,teamred | random,no_lavin_tag,324,non_genre,This+stage+of+fools,1896,0.157054627
546,Knox%2C+Ronald+Arbuthnott%2C,chirandom | teamred | det100,no_lavin_tag,547,crime,The+footsteps+at+the+lock,1928,0.157054253
249,Greg%2C+Percy%2C,teamred | anatscifi,no_lavin_tag,250,scifi,Across+the+zodiac,1880,0.15704395
579,Cummings%2C+Ray%2C,teamblack | chiscifi,no_lavin_tag,580,scifi,Brigands+of+the+moon,1931,0.156959429
656,Joyce%2C+James%2C,chirandom | teamred,no_lavin_tag,657,non_genre,Stephen+hero,1944,0.156834038
307,Bierce%2C+Ambrose%2C,teamblack | pbgothic | stew,no_lavin_tag,308,gothic,In+the+midst+of+life%3B,1892,0.156739802
333,James%2C+Henry%2C,teamred | pbgothic | lavin_ghost | lavin_magic,lavin_multi,334,gothic,The+Turn+of+the+Screw,1898,0.156699367
260,Pater%2C+Walter%2C,teamred | random,no_lavin_tag,261,non_genre,Marius+the+Epicurean,1885,0.156603923
463,Pease%2C+Howard%2C,teamblack | locghost | stew | lavin_ghost,lavin_ghost,464,gothic,Border+ghost+stories,1919,0.156311551
378,Harding%2C+Ellison.,teamblack | locscifi,no_lavin_tag,379,scifi,The+woman+who+vowed,1908,0.156288952
899,Estleman%2C+Loren+D%2C,teamred | chimyst | chihorror | lavin_magic,lavin_magic,900,multi,Sherlock+Holmes+vs.+Dracu,1978,0.156266888
386,Ayscough%2C+John%2C,teamblack | random,no_lavin_tag,387,non_genre,A+Roman+tragedy+and+other,1909,0.156097267
942,MacLeod%2C+Charlotte%2C,teamred | chimyst,no_lavin_tag,943,crime,The+plain+old+man,1985,0.155925638
211,Marryat%2C+Florence%2C,teamblack | random,no_lavin_tag,212,non_genre,Her+lord+and+master,1871,0.155911583
48,Cuthbertson%2C+Catherine.,teamblack | stangothic,no_lavin_tag,49,gothic,Romance+of+the+Pyrenees,1803,0.155894123
