position,big_genres,dates,authors,genres,lavin_genres,ids,titles,correct,predicted,probability_gothic,target_binary,predicted_binary,predicted_binary_false
530,crime,1925,Christie%2C+Agatha%2C,chirandom | det100 | teamblack,no_lavin_tag,531,Poirot+investigates,1,not gothic,0.324480122,1,1,0
661,scifi,1945,Orwell%2C+George%2C,chiutopia | teamblack,no_lavin_tag,662,Animal+farm,1,not gothic,0.329423838,1,1,0
433,crime,1914,Vance%2C+Louis+Joseph%2C,det100 | teamblack,no_lavin_tag,434,The+lone+wolf,1,not gothic,0.334404045,1,1,0
454,gothic,1918,French%2C+Joseph+Lewis%2C,teamblack | locghost | stew | lavin_ghost,lavin_ghost,455,Great+ghost+stories%2C+sele,0,not gothic,0.337437455,0,1,0
434,crime,1915,Ostrander%2C+Isabel%2C,teamred | det100 | stew,no_lavin_tag,435,At+one-thirty,1,not gothic,0.340381913,1,1,0
461,gothic,1919,James%2C+M.+R.,teamred | pbgothic | lavin_ghost,lavin_ghost,462,A+thin+ghost+and+others,0,not gothic,0.340442419,0,1,0
311,gothic,1893,Bierce%2C+Ambrose%2C,teamblack | pbgothic | lavin_ghost,lavin_ghost,312,Can+such+things+be%3F,0,not gothic,0.342291301,0,1,0
348,scifi,1901,Shiel%2C+M.+P.,chifantasy | teamblack | chiscifi,no_lavin_tag,349,The+purple+cloud,1,not gothic,0.343346715,1,1,0
667,scifi,1946,Sherman%2C+Harold+M.,teamblack | chiscifi | stew,no_lavin_tag,668,The+green+man,1,not gothic,0.344162885,1,1,0
568,scifi,1930,Kline%2C+Otis+Adelbert%2C,teamblack | chiscifi,no_lavin_tag,569,The+prince+of+peril,1,not gothic,0.344337798,1,1,0
183,sensation,1863,Reade%2C+Charles%2C,teamred | sensation | stew,no_lavin_tag,184,Hard+Cash,1,not gothic,0.344368912,1,1,0
241,non_genre,1879,Adams%2C+Robert+Chamblet%2C,teamblack | random,no_lavin_tag,242,On+board+the+%22Rocket%22,1,not gothic,0.345065973,1,1,0
710,crime,1950,Crispin%2C+Edmund%2C,teamblack | chimyst,no_lavin_tag,711,Frequent+hearses,1,not gothic,0.351814848,1,1,0
438,crime,1915,Seaman%2C+Augusta+Huiell%2C,teamblack | locdetmyst | juvenile | drop,no_lavin_tag,439,The+boarded-up+house,1,not gothic,0.354059413,1,1,0
330,gothic,1898,Bangs%2C+John+Kendrick%2C,teamred | locghost | stew | lavin_ghost,lavin_ghost,331,Ghosts+I+have+met+and+som,0,not gothic,0.356626747,0,1,0
739,scifi,1954,Heinlein%2C+Robert+A.,teamblack | chiscifi | stew,no_lavin_tag,740,The+star+beast,1,not gothic,0.356836599,1,1,0
404,crime,1911,Appleton%2C+Victor.,teamblack | locdetmyst | juvenile | drop,no_lavin_tag,405,Tom+Swift+and+his+sky+rac,1,not gothic,0.357512388,1,1,0
595,gothic,1933,Endore%2C+S.+Guy%2C,chifantasy | teamblack | chihorror | stew,no_lavin_tag,596,The+werewolf+of+Paris,0,not gothic,0.35805533,0,1,0
171,gothic,1858,MacDonald%2C+George%2C,teamblack | pbgothic,no_lavin_tag,172,Phantastes,0,not gothic,0.363915102,0,1,0
298,gothic,1891,Wilde%2C+Oscar%2C,teamblack | pbgothic | lavin_magic | lavin_deranged,lavin_multi,299,The+picture+of+Dorian+Gra,0,not gothic,0.372665295,0,1,0
239,gothic,1878,Collins%2C+Wilkie%2C,teamred | pbgothic | stew | lavin_ghost,lavin_ghost,240,The+haunted+hotel,0,not gothic,0.373619347,0,1,0
512,crime,1922,Emerson%2C+Alice+B.,teamred | locdetmyst | juvenile | drop,no_lavin_tag,513,Ruth+Fielding+on+the+St.+,1,not gothic,0.376169269,1,1,0
363,gothic,1905,Dickens%2C+Charles%2C,teamred | locghost | lavin_ghost,lavin_ghost,364,A+Christmas+carol+in+pros,0,not gothic,0.379121157,0,1,0
352,gothic,1903,Benson%2C+Arthur+Christophe,teamblack | pbgothic | lavin_ghost,lavin_ghost,353,The+hill+of+trouble+and+o,0,not gothic,0.381160254,0,1,0
395,non_genre,1910,Roe%2C+Clifford+Griffith%2C,teamred | random,no_lavin_tag,396,Panders+and+their+white+s,1,not gothic,0.386046452,1,1,0
489,gothic,1921,AnonymousGhost3,teamred | locghost | stew | lavin_ghost,lavin_ghost,490,Humorous+ghost+stories,0,not gothic,0.386606016,0,1,0
359,gothic,1904,Baring-Gould%2C+S.,teamred | locghost | stew | lavin_ghost,lavin_ghost,360,A+book+of+ghosts,0,not gothic,0.387226878,0,1,0
455,non_genre,1918,Hewlett%2C+Maurice%2C,teamred | random,no_lavin_tag,456,Gudrid+the+Fair,1,not gothic,0.391149198,1,1,0
296,gothic,1890,AnonymousGhost2,teamblack | locghost | stew | lavin_ghost,lavin_ghost,297,Modern+ghosts,0,not gothic,0.393553115,0,1,0
